longitude latitude valor
-55.0000000000 -5.0000000000 100.0002186039
-54.9367088608 -5.0000000000 100.0003415925
-54.8734177215 -5.0000000000 100.0005277014
-54.8101265823 -5.0000000000 100.0008059305
-54.7468354430 -5.0000000000 100.0012168482
-54.6835443038 -5.0000000000 100.0018163716
-54.6202531646 -5.0000000000 100.0026804178
-54.5569620253 -5.0000000000 100.0039104772
-54.4936708861 -5.0000000000 100.0056400960
-54.4303797468 -5.0000000000 100.0080421601
-54.3670886076 -5.0000000000 100.0113367457
-54.3037974684 -5.0000000000 100.0157991446
-54.2405063291 -5.0000000000 100.0217674832
-54.1772151899 -5.0000000000 100.0296491564
-54.1139240506 -5.0000000000 100.0399250934
-54.0506329114 -5.0000000000 100.0531507035
-53.9873417722 -5.0000000000 100.0699522311
-53.9240506329 -5.0000000000 100.0910172272
-53.8607594937 -5.0000000000 100.1170779497
-53.7974683544 -5.0000000000 100.1488867646
-53.7341772152 -5.0000000000 100.1871830647
-53.6708860759 -5.0000000000 100.2326518401
-53.6075949367 -5.0000000000 100.2858748218
-53.5443037975 -5.0000000000 100.3472760227
-53.4810126582 -5.0000000000 100.4170644454
-53.4177215190 -5.0000000000 100.4951776265
-53.3544303797 -5.0000000000 100.5812304209
-53.2911392405 -5.0000000000 100.6744738813
-53.2278481013 -5.0000000000 100.7737691548
-53.1645569620 -5.0000000000 100.8775809088
-53.1012658228 -5.0000000000 100.9839938804
-53.0379746835 -5.0000000000 101.0907547302
-52.9746835443 -5.0000000000 101.1953395510
-52.9113924051 -5.0000000000 101.2950452728
-52.8481012658 -5.0000000000 101.3871010143
-52.7848101266 -5.0000000000 101.4687933738
-52.7215189873 -5.0000000000 101.5375979697
-52.6582278481 -5.0000000000 101.5913084394
-52.5949367089 -5.0000000000 101.6281537437
-52.5316455696 -5.0000000000 101.6468950918
-52.4683544304 -5.0000000000 101.6468950918
-52.4050632911 -5.0000000000 101.6281537437
-52.3417721519 -5.0000000000 101.5913084394
-52.2784810127 -5.0000000000 101.5375979697
-52.2151898734 -5.0000000000 101.4687933738
-52.1518987342 -5.0000000000 101.3871010143
-52.0886075949 -5.0000000000 101.2950452728
-52.0253164557 -5.0000000000 101.1953395510
-51.9620253165 -5.0000000000 101.0907547302
-51.8987341772 -5.0000000000 100.9839938804
-51.8354430380 -5.0000000000 100.8775809088
-51.7721518987 -5.0000000000 100.7737691548
-51.7088607595 -5.0000000000 100.6744738813
-51.6455696203 -5.0000000000 100.5812304209
-51.5822784810 -5.0000000000 100.4951776265
-51.5189873418 -5.0000000000 100.4170644454
-51.4556962025 -5.0000000000 100.3472760227
-51.3924050633 -5.0000000000 100.2858748218
-51.3291139241 -5.0000000000 100.2326518401
-51.2658227848 -5.0000000000 100.1871830647
-51.2025316456 -5.0000000000 100.1488867646
-51.1392405063 -5.0000000000 100.1170779497
-51.0759493671 -5.0000000000 100.0910172272
-51.0126582278 -5.0000000000 100.0699522311
-50.9493670886 -5.0000000000 100.0531507035
-50.8860759494 -5.0000000000 100.0399250934
-50.8227848101 -5.0000000000 100.0296491564
-50.7594936709 -5.0000000000 100.0217674832
-50.6962025316 -5.0000000000 100.0157991446
-50.6329113924 -5.0000000000 100.0113367457
-50.5696202532 -5.0000000000 100.0080421601
-50.5063291139 -5.0000000000 100.0056400960
-50.4430379747 -5.0000000000 100.0039104772
-50.3797468354 -5.0000000000 100.0026804178
-50.3164556962 -5.0000000000 100.0018163716
-50.2531645570 -5.0000000000 100.0012168482
-50.1898734177 -5.0000000000 100.0008059305
-50.1265822785 -5.0000000000 100.0005277014
-50.0632911392 -5.0000000000 100.0003415925
-50.0000000000 -5.0000000000 100.0002186039
-55.0000000000 -4.9322033898 100.0003199307
-54.9367088608 -4.9322033898 100.0004999267
-54.8734177215 -4.9322033898 100.0007723003
-54.8101265823 -4.9322033898 100.0011794935
-54.7468354430 -4.9322033898 100.0017808789
-54.6835443038 -4.9322033898 100.0026582921
-54.6202531646 -4.9322033898 100.0039228390
-54.5569620253 -4.9322033898 100.0057230527
-54.4936708861 -4.9322033898 100.0082543805
-54.4303797468 -4.9322033898 100.0117698438
-54.3670886076 -4.9322033898 100.0165915283
-54.3037974684 -4.9322033898 100.0231223282
-54.2405063291 -4.9322033898 100.0318570977
-54.1772151899 -4.9322033898 100.0433920661
-54.1139240506 -4.9322033898 100.0584310821
-54.0506329114 -4.9322033898 100.0777869970
-53.9873417722 -4.9322033898 100.1023763306
-53.9240506329 -4.9322033898 100.1332053260
-53.8607594937 -4.9322033898 100.1713456554
-53.7974683544 -4.9322033898 100.2178984200
-53.7341772152 -4.9322033898 100.2739457344
-53.6708860759 -4.9322033898 100.3404900934
-53.6075949367 -4.9322033898 100.4183828709
-53.5443037975 -4.9322033898 100.5082446172
-53.4810126582 -4.9322033898 100.6103812112
-53.4177215190 -4.9322033898 100.7247012370
-53.3544303797 -4.9322033898 100.8506410275
-53.2911392405 -4.9322033898 100.9871044852
-53.2278481013 -4.9322033898 101.1324248787
-53.1645569620 -4.9322033898 101.2843552214
-53.1012658228 -4.9322033898 101.4400924922
-53.0379746835 -4.9322033898 101.5963388890
-52.9746835443 -4.9322033898 101.7494006288
-52.9113924051 -4.9322033898 101.8953217206
-52.8481012658 -4.9322033898 102.0300469307
-52.7848101266 -4.9322033898 102.1496051474
-52.7215189873 -4.9322033898 102.2503018935
